Date,Time,Student Count (1 min interval starting at time)
2024-09-24,9:00 AM,15
2024-09-24,9:15 AM,8
2024-09-24,9:30 AM,4
2024-09-24,9:45 AM,13
2024-09-24,10:00 AM,17
2024-09-24,10:15 AM,13
2024-09-24,10:30 AM,5
2024-09-24,10:45 AM,9
2024-09-24,11:00 AM,18
2024-09-24,11:15 AM,13
2024-09-24,11:30 AM,4
2024-09-24,11:45 AM,16
2024-09-24,3:00 PM,13
2024-09-24,3:15 PM,7
2024-09-24,3:30 PM,6
2024-09-24,3:45 PM,16
2024-09-24,4:00 PM,14
2024-09-24,4:15 PM,7
2024-09-24,4:30 PM,4
2024-09-24,4:45 PM,5
2024-09-24,5:00 PM,5
2024-09-24,5:15 PM,4
2024-09-24,5:30 PM,3
2024-09-24,5:45 PM,1
2024-09-24,6:00 PM,1
2024-09-24,6:15 PM,2
2024-09-24,6:30 PM,3
2024-09-24,6:45 PM,4
2024-09-27,10:00 AM,7
2024-09-27,10:15 AM,2
2024-09-27,10:30 AM,3
2024-09-27,10:45 AM,4
2024-09-27,11:00 AM,15
2024-09-27,11:15 AM,11
2024-09-27,11:30 AM,9
2024-09-27,11:45 AM,12
2024-09-27,3:00 PM,12
2024-09-27,3:15 PM,11
2024-09-27,3:30 PM,7
2024-09-27,3:45 PM,16
2024-09-27,4:00 PM,10
2024-09-27,4:15 PM,6
2024-09-27,4:30 PM,4
2024-09-27,4:45 PM,5
2024-09-27,5:00 PM,3
2024-09-27,5:15 PM,3
2024-09-27,5:45 PM,1
2024-09-27,6:00 PM,6
2024-09-27,6:15 PM,1
2024-09-27,6:30 PM,2
2024-09-27,6:45 PM,2